Date;beta_0;beta_1;beta_2;lambda;shocks
2011-05-03;4,11;-0,62;-0,64;0,31;
2011-06-01;4,19;-0,55;-0,23;0,31;
2011-07-01;4,12;-0,46;-0,19;0,31;
2011-08-01;4,39;-0,60;0,12;1,00;0,04
2011-09-01;4,99;-0,70;0,30;1,00;0,71
2011-10-03;5,69;-0,72;-0,02;0,80;-0,07
2011-11-01;5,86;-0,80;-0,44;0,55;0,70
2011-12-01;5,53;-0,31;-0,52;0,66;0,38
2012-01-10;5,30;-0,56;0,32;1,00;-0,66
2012-02-01;5,23;-0,81;0,47;1,00;0,10
2012-03-01;5,22;-0,26;-0,41;1,00;0,90
2012-04-02;5,46;-0,30;-0,14;0,31;0,20
2012-05-02;5,61;-0,02;-0,39;0,80;-0,21
2012-06-01;5,83;-0,15;0,12;1,00;-0,83
2012-07-02;5,94;-0,12;0,22;1,00;-1,24
2012-08-01;5,86;-0,24;0,31;1,00;0,05
2012-09-03;5,91;-0,40;0,08;1,00;-0,21
2012-10-01;6,11;-0,21;-0,05;0,38;1,59
2012-11-01;6,00;0,03;0,08;1,00;0,59
2012-12-03;5,89;0,29;-0,34;0,55;1,21
2013-01-09;5,69;-0,24;0,64;1,00;-1,30
2013-02-01;5,66;-0,12;0,29;1,00;0,87
2013-03-01;5,67;0,29;-0,01;0,55;0,19
2013-04-01;5,66;0,36;0,32;1,00;0,05
2013-05-06;5,66;0,60;0,30;1,00;0,12
2013-06-03;5,80;0,37;0,35;1,00;-0,20
2013-07-01;5,74;0,21;0,61;1,00;-1,01
2013-08-01;5,62;0,27;0,65;1,00;0,29
2013-09-02;5,64;0,28;0,50;1,00;0,30
2013-10-01;5,68;0,25;0,48;1,00;-0,61
2013-11-01;5,74;0,24;0,42;1,00;0,78
2013-12-02;6,14;0,17;-1,05;0,31;1,10
2014-01-09;5,90;0,22;0,26;1,00;-0,20
2014-02-03;6,18;-0,19;0,51;1,00;-0,53
2014-03-03;8,04;-0,32;0,72;1,00;1,52
2014-04-01;8,23;-0,36;0,72;1,00;-1,07
2014-05-05;8,58;-0,46;0,76;1,00;0,08
2014-06-02;8,41;-0,45;0,63;1,00;-0,07
2014-07-01;8,37;-0,20;0,43;1,00;0,06
2014-08-01;8,81;-0,87;1,46;1,00;-0,98
2014-09-01;8,86;-0,91;0,71;1,00;-0,43
2014-10-01;8,92;-0,78;0,62;1,00;0,24
2014-11-05;10,25;-0,29;0,97;0,66;1,31
2014-12-01;15,52;-0,60;5,73;1,00;2,77
2015-01-12;16,52;0,46;12,08;1,00;-3,00
2015-02-02;14,18;0,97;2,91;1,00;-1,11
2015-03-02;12,69;2,13;0,97;0,31;0,29
2015-04-01;12,80;1,64;0,01;0,80;1,36
2015-05-05;10,97;2,16;-0,02;0,38;-1,35
2015-06-01;10,47;1,91;0,07;0,31;1,44
2015-07-01;10,69;0,96;1,35;1,00;-2,05
2015-08-03;10,56;0,36;1,56;1,00;-0,41
2015-09-01;10,95;0,21;0,58;1,00;-0,52
2015-10-01;10,73;0,41;0,41;1,00;-0,09
2015-11-02;10,58;0,63;0,57;1,00;0,91
2015-12-01;10,48;0,62;0,90;1,00;-0,13
2016-01-11;10,67;0,41;0,02;0,55;-0,27
2016-02-01;10,63;0,24;0,39;1,00;0,25
2016-03-01;9,60;1,18;0,45;0,15;1,26
2016-04-01;9,16;1,58;0,84;0,15;0,11
2016-05-04;9,23;1,50;0,59;0,15;0,90
2016-06-01;8,94;1,61;0,74;0,15;-0,33
2016-07-01;8,43;1,82;1,60;0,15;-0,08
2016-08-01;8,69;1,56;1,05;0,15;-0,10
2016-09-01;8,97;1,17;0,46;0,15;0,58
2016-10-03;9,06;1,03;0,52;0,15;-0,04
2016-11-01;9,46;0,60;0,65;0,34;-0,20
2016-12-01;9,13;0,93;0,49;0,15;1,56
2017-01-09;8,64;1,37;0,87;0,15;0,42
2017-02-01;8,20;1,81;1,58;0,15;0,64
2017-03-01;8,35;1,60;1,13;0,15;-0,23
2017-04-03;8,02;1,70;0,97;0,15;-0,01
2017-05-02;7,29;1,97;1,10;0,15;-0,89
2017-06-01;7,27;1,72;0,56;0,15;-1,50
2017-07-03;7,41;1,48;1,13;0,19;0,58
2017-08-01;8,14;0,67;0,88;0,55;-0,38
2017-09-01;7,54;0,97;0,22;0,15;0,32
2017-10-02;7,38;0,74;0,13;0,15;0,24
2017-11-01;7,17;0,71;0,06;0,15;0,05
2017-12-01;7,09;0,64;-0,01;0,16;-0,54
2018-01-09;6,60;0,61;0,45;0,23;-0,37
2018-02-01;6,34;0,71;-0,02;0,29;0,27
2018-03-01;6,11;1,03;0,02;0,29;0,03
2018-04-02;6,13;0,88;0,33;0,15;-0,79
2018-05-03;6,51;0,47;0,42;0,27;-0,40
2018-06-01;6,42;0,57;0,42;0,15;-0,01
2018-07-02;6,66;0,34;0,26;0,15;-0,05
2018-08-01;7,25;-0,22;-0,14;0,38;-0,38
2018-09-03;8,71;-1,52;-0,95;0,25;0,66
2018-10-01;9,03;-1,69;-1,95;0,34;0,12
2018-11-07;10,23;-2,95;-2,51;0,15;-0,08
2018-12-03;10,04;-2,62;-2,19;0,15;-0,46
2019-01-09;8,73;-1,14;-1,16;0,29;0,19
2019-02-01;8,41;-0,87;-0,81;0,34;0,28
2019-03-01;7,99;-0,46;-0,51;0,34;0,08
2019-04-01;7,67;-0,11;-0,17;0,42;0,35
2019-05-06;7,81;-0,25;-0,46;0,15;0,08
2019-06-03;7,21;0,25;0,25;0,55;0,04
2019-07-01;6,93;0,38;0,32;0,80;-0,14
2019-08-01;6,63;0,44;0,01;0,15;0,06
2019-09-02;6,56;0,27;0,25;0,55;-0,20
2019-10-01;6,18;0,50;0,01;0,31;0,23
2019-11-01;5,69;0,63;0,00;0,19;0,15
2019-12-02;5,65;0,49;0,07;0,15;-0,29
2020-01-09;5,64;0,40;0,00;0,31;-0,45
2020-02-03;5,45;0,39;0,51;1,00;-0,14
2020-03-02;6,12;-0,33;1,01;0,23;-0,84
2020-04-06;5,46;0,22;0,16;1,00;4,13
2020-05-06;4,35;1,08;0,95;1,00;-0,77
2020-06-01;4,02;0,99;0,61;1,00;-0,15
2020-07-02;3,84;0,38;0,01;0,34;0,02
2020-08-03;3,95;0,13;0,13;1,00;-0,39
2020-09-01;4,16;-0,08;-0,35;0,15;-0,10
2020-10-01;4,02;0,08;0,08;1,00;-0,67
2020-11-02;3,95;0,14;0,16;1,00;-1,23
2020-12-01;4,45;-0,36;-0,74;0,15;-0,58
2021-01-11;4,74;-0,58;-1,04;0,15;0,06
2021-02-01;4,82;-0,68;-0,87;0,16;-1,67
2021-03-01;5,65;-1,46;-0,52;0,15;-0,63
2021-04-01;6,19;-1,72;-0,01;0,19;0,08
2021-05-04;6,42;-1,68;-1,30;0,42;-0,78
2021-06-01;6,58;-1,53;1,12;0,16;-0,59
2021-07-01;7,08;-1,53;0,48;0,31;1,43
2021-08-02;7,00;-0,82;0,04;0,38;-0,02
2021-09-01;6,76;-0,27;1,20;0,15;-0,44
2021-10-01;8,17;-1,36;-0,70;0,48;-1,05
2021-11-01;9,37;-2,20;-1,28;0,55;0,20
2021-12-01;8,72;-0,89;2,67;0,15;-0,09
2022-01-10;10,58;-2,41;-0,98;0,66;0,75
2022-02-01;12,44;-3,29;3,42;0,34;0,63
2022-03-01;19,91;-0,27;12,49;0,23;-1,51
2022-04-01;12,84;4,31;5,03;0,38;0,44
2022-05-04;10,51;2,62;-0,06;0,18;-0,13
2022-06-01;9,16;0,66;0,13;1,00;-0,96
2022-07-01;8,73;0,20;-0,66;0,29;-0,29
2022-08-01;8,54;-0,66;-1,03;0,22;-0,43
2022-09-01;8,99;-1,32;-2,11;0,21;0,49
2022-10-03;12,59;-5,12;-5,38;0,08;0,36
2022-11-01;11,24;-3,82;-3,91;0,08;-0,87
2022-12-01;10,36;-2,95;-2,74;0,09;-0,92
2023-01-09;10,22;-2,89;-1,57;0,08;-1,40
2023-02-01;10,86;-3,46;-2,32;0,08;0,03
2023-03-01;10,96;-3,55;-1,84;0,08;-0,41
2023-04-03;9,43;-2,00;-2,22;0,19;-0,33
2023-05-02;8,84;-1,40;-1,68;0,27;-0,60
2023-06-01;10,32;-2,92;-0,90;0,08;-0,51
2023-07-03;9,61;-1,82;-0,03;0,16;0,18
2023-08-01;10,10;0,27;1,18;0,18;2,29
2023-09-01;10,18;2,18;4,61;0,21;1,02
2023-10-02;8,92;4,07;12,07;0,12;1,35
2023-11-01;10,03;4,74;7,33;0,15;1,65
2023-12-01;10,28;5,03;9,17;0,21;
